Player,Role,Team ID,Credit,Players_Link,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,fours_Scored,six_Scored,Bat_Dot%,Overs_Bowled,Runs_Given,Wickets_Taken,Econ,Bowl_Avg,Bowl_SR,5W,fours_Given,six_Given,Bowl_Dot%,next_SR,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
S Dhawan,Batsman,PBKS,9,https://www.punjabkingsipl.in/static-assets/images/players/3722.png?v=5.91,smat2022_131,37,27,1,137,0,0,7,0,44.4,0,0,0,0,0,0,0,0,0,0,137.5,33,24,0,0,0,27,38,21,28,0,0,0,0,0,0
JM Bairstow,WK,PBKS,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/216.png,t20blast2023_002,7,6,1,116.7,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,133.3333333,32,24,0,0,0,22,41,20,29,0,0,0,0,0,0
RR Rossouw,Batsman,PBKS,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1426.png,t20blast2022_132,23,20,1,115,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,173.3333333,26,15,0,0,0,23,29,13,17,0,0,0,0,0,0
A Taide,Batsman,PBKS,6.5,https://www.punjabkingsipl.in/static-assets/images/players/67910.png?v=5.91,smat2022_135,29,22,1,131.8,0,0,3,1,40.9,0,0,0,0,0,0,0,0,0,0,116.6666667,21,18,1,3,0,11,31,12,24,0,0,2,4,0,0
Harpreet Singh,Batsman,PBKS,6,https://www.iplt20.com/assets/images/default-headshot.png,smat2023_094,34,27,1,125.9,0,0,4,0,25.9,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,1,15,1,11,0,0,0,0,0,0
Shashank Singh,Batsman,PBKS,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/191.png,smat2023_094,28,22,1,127.3,0,0,1,1,18.2,1,11,0,11,0,0,0,1,0,0,0,0,0,0,0,1,1,15,1,10,0,0,-3,3,1,1
Arshdeep Singh,Bowler,PBKS,8.5,https://www.punjabkingsipl.in/static-assets/images/players/67905.png?v=5.91,smat2023_135,0,0,0,0,0,0,0,0,0,4,23,4,5.75,5.8,6,0,1,0,50,0,0,1,1,28,3,1,1,1,1,1,1,25,31,3,4
K Rabada,Bowler,PBKS,8.5,https://www.punjabkingsipl.in/static-assets/images/players/63611.png?v=5.91,sat20_2024_28,1,2,1,50,0,0,0,0,50,4,24,1,6,24,24,0,1,1,45.8,150,3,2,1,27,3,2,3,1,3,1,1,25,29,3,3
HV Patel,Bowler,PBKS,8,https://www.punjabkingsipl.in/static-assets/images/players/5407.png?v=5.91,smat2023_076,30,26,1,115.4,0,0,4,0,53.8,0,0,0,0,0,0,0,0,0,0,113.3333333,17,15,1,13,1,14,21,13,17,0,1,10,16,1,2
NT Ellis,Bowler,PBKS,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/633.png,t20blast2023_131,0,0,0,0,0,0,0,0,0,2.3,27,1,10.8,27,15,0,1,3,40,100,2,2,1,31,3,1,3,1,3,1,1,29,33,3,4
